;Line;Location;Type;Date;Due Date;Past Due
0;201;C1;EGV Cylinder;2019-08-26 00:00:00.000;2021-08-15 00:00:00.000;351 days 00:00:00.000000000
1;201;P1;EGV Cylinder;2019-08-26 00:00:00.000;2021-08-15 00:00:00.000;351 days 00:00:00.000000000
2;201;P2;EGV Cylinder;2019-08-26 00:00:00.000;2021-08-15 00:00:00.000;351 days 00:00:00.000000000
3;201;P3;EGV Cylinder;2019-08-26 00:00:00.000;2021-08-15 00:00:00.000;351 days 00:00:00.000000000
4;201;P4;EGV Cylinder;2018-11-11 00:00:00.000;2020-10-31 00:00:00.000;63 days 00:00:00.000000000
5;201;C2;EGV Cylinder;2019-08-26 00:00:00.000;2021-08-15 00:00:00.000;351 days 00:00:00.000000000
6;201;P5;EGV Cylinder;2020-03-21 00:00:00.000;2022-03-11 00:00:00.000;559 days 00:00:00.000000000
7;201;P6;EGV Cylinder;2018-01-31 00:00:00.000;2020-01-21 00:00:00.000;-221 days +00:00:00.000000000
8;201;P7;EGV Cylinder;2020-02-14 00:00:00.000;2022-02-03 00:00:00.000;523 days 00:00:00.000000000
9;201;P8;EGV Cylinder;2020-02-14 00:00:00.000;2022-02-03 00:00:00.000;523 days 00:00:00.000000000
10;201;P9;EGV Cylinder;2020-02-14 00:00:00.000;2022-02-03 00:00:00.000;523 days 00:00:00.000000000
11;201;P10;EGV Cylinder;2020-02-14 00:00:00.000;2022-02-03 00:00:00.000;523 days 00:00:00.000000000
12;201;P11;EGV Cylinder;2020-03-21 00:00:00.000;2022-03-11 00:00:00.000;559 days 00:00:00.000000000
13;201;P12;EGV Cylinder;2020-03-21 00:00:00.000;2022-03-11 00:00:00.000;559 days 00:00:00.000000000
14;201;P13;EGV Cylinder;2019-08-26 00:00:00.000;2021-08-15 00:00:00.000;351 days 00:00:00.000000000
15;201;C3;EGV Cylinder;2018-12-24 00:00:00.000;2020-12-13 00:00:00.000;106 days 00:00:00.000000000
16;201;P14;EGV Cylinder;2020-03-21 00:00:00.000;2022-03-11 00:00:00.000;559 days 00:00:00.000000000
